Taxonomy,abundance,phylum,class,order,family,genus,species
Minicystis rosea,1498,Proteobacteria,Deltaproteobacteria,Myxococcales,,Minicystis,Minicystis rosea
Aeromonas hydrophila,963.1666667,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
Candidatus Thiodictyon syntrophicum,949.5,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon,Candidatus Thiodictyon syntrophicum
Escherichia coli,1889.833333,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
Salmonella enterica,1326.833333,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
Buchnera aphidicola,2533,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola
Serratia marcescens,870.8333333,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
Pseudomonas aeruginosa,1192.666667,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas chlororaphis,884.6666667,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis
Pseudomonas fluorescens,1776,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
Pseudomonas mendocina,872,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina
Pseudomonas putida,1973.5,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
Pseudomonas stutzeri,2667.833333,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri
Stenotrophomonas maltophilia,1922.833333,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia
Turneriella parva,676.3333333,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Turneriella,Turneriella parva
Spirochaeta thermophila,889.1666667,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta thermophila
Treponema brennaborense,3170.833333,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema brennaborense
Treponema succinifaciens,5479.166667,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema succinifaciens
Cloacibacillus porcorum,2662.166667,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus porcorum
Acholeplasma palmae,781.1666667,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma palmae
Ereboglobus luteus,1657.333333,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Ereboglobus,Ereboglobus luteus
Lacunisphaera limnophila,1810.666667,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,Lacunisphaera limnophila
Nibricoccus aquaticus,1025.666667,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus,Nibricoccus aquaticus
Opitutus sp. GAS368,1533.666667,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus sp. GAS368
Opitutus terrae,1611,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae
Opitutaceae bacterium TAV5,2403.5,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,,Opitutaceae bacterium TAV5
Akkermansia glycaniphila,20922.33333,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia glycaniphila
Akkermansia muciniphila,17685.16667,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
Luteolibacter sp. G-1-1-1,5192,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter sp. G-1-1-1
Roseimicrobium sp. ORNL1,3539.166667,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium,Roseimicrobium sp. ORNL1
Verrucomicrobium sp. GAS474,1752.5,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,Verrucomicrobium sp. GAS474
Verrucomicrobium spinosum,2616.833333,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,Verrucomicrobium spinosum
Verrucomicrobia bacterium IMCC26134,959.5,Verrucomicrobia,,,,,Verrucomicrobia bacterium IMCC26134
